_New	Nou
Catalog	Catàleg
All	Tots
OpenBrowser	Obrir navegador
UnrecognizedActionColon	Acció no reconeguda:
SupportsNullsColonParameter	Admet nuls: {0}
UnauthorizedAccessParameter	Accés no autoritzat {0}
FieldsColon	Camps:
UndefinedCatalogInQueryExceptionMessage	Consulta mal definida. El catàleg no existeix.
TestsSmtpAccountWrongCredentialsMessage	Credencials incorrectes, revisi l'usuari i la contrasenya.
TestConnectionUnassignedDataSourceMessage	Datasource no assignat
BusinessItemEmptyNameMessage	Cal especificar un nom per a aquest element de negoci.
ExecutionComplete	Execució finalitzada
ExecutionCompleteWithUnexpectedExitCode	Execució finalitzada amb un ExitCode imprevist.
ExecuteParameterBetweenQuotes	Executa {0}
ExecuteProcedureParameterBetweenQuotes	Executa procediment '{0}'
ExecutingDot	Executant.
ExecutingRowParameter	Executant fila {0}
CatalogNotFromUriExceptionMessage	El catàleg no s'obté mitjançant uri.
TableRowContentIsNotTableColumnExceptionMessage	El contingut de les files han de ser TABLE COLUMN
TableContentIsNotTableColumnExceptionMessage	El contingut de les taules ha de ser TABLE COLUMN
DirectoryNotFoundOrNotAccessibleExceptionMessage	El directori no existeix o no està accessible:
DirectoryNotFoundExceptionMessage	El directori no existeix:
FileNotEqualParameterExceptionMessage	El fitxer no és exactament igual. ({0})
FileNotFoundOrNotAccessibleExceptionMessage	El fitxer no existeix o no està accessible:
InitializationMethodNotStaticExceptionMessage	El mètode '{0}' de {1} ha de ser estàtic
ParameterNameWithSpacesExceptionMessage	El nom d'un paràmetre no pot contenir espais.
NullQueryParameterExceptionMessage	El paràmetre consulta no pot ser NULL
CronoServerDoesNotSupportFeatureExceptionMessage	El servidor no suporta aquesta funcionalitat.
CorrectElement	Element correcte
ReadingErrorParameterBetweenQuotes	Error a l'llegir '{0}'
ErrorParsingThisSentenceColonParameter	Error a l'parsejar aquesta sentència:|{0}
ErrorInFileParameter	Error en el fitxer {0}
IsForeignKeyColonParameter	És clau externa: {0}
IsPrimaryKeyColonParameter	És clau primària: {0}
IsDeferrableColonParameter	És diferida: {0}
IsClusteredColonParameter	És grup: {0}
IsUniqueColonParameter	És únic: {0}
IsDisabledColonParameter	Està deshabilitat: {0}
CubeWithUnknownColumnsExceptionMessage	Aquest cub no es pot avaluar per contenir columnes desconegudes.
MultipleMethodsWithSameAttributeExceptionMessage	Hi ha diversos mètodes amb l'atribut {0}
IncorrectExpressionColonParameter	Expressió incorrecta: {0}
BadExtensionDefinitionExceptionMessage	Extensió {0} mal definida
JoinDateAndDurationOfVerificationParameters	Data de verificació: {0}|Temps de verificació: {0} segons
DateColonParameter	Data: {0}
IncorrectFileFormat	Format de fitxer incorrecta
IncorrectVersionFormatColonParameter	Format de versió incorrecte: {0}
UserProfileAccessProblemExceptionMessage	Hi ha hagut un problema a l'accedir a l'perfil de l'usuari.
