_New;Neu
Catalog;Katalog
All;Alle
OpenBrowser;Browser öffnen
UnrecognizedActionColon;Nicht erkannte Aktion:
SupportsNullsColonParameter;Unterstützt Nullen: {0}
UnauthorizedAccessParameter;Nicht autorisierter Zugriff {0}
FieldsColon;Felder:
UndefinedCatalogInQueryExceptionMessage;Falsch definierte Abfrage. Der Katalog existiert nicht.
TestsSmtpAccountWrongCredentialsMessage;Schlechte Anmeldeinformationen, überprüfen Sie den Benutzernamen und das Passwort.
TestConnectionUnassignedDataSourceMessage;Nicht zugewiesene Datenquelle
BusinessItemEmptyNameMessage;Sie müssen einen Namen für dieses Geschäftselement angeben.
ExecutionComplete;Ausführung abgeschlossen
ExecutionCompleteWithUnexpectedExitCode;Die Ausführung wurde mit einem unvorhergesehenen ExitCode abgeschlossen.
ExecuteParameterBetweenQuotes;Führen Sie {0} aus
ExecuteProcedureParameterBetweenQuotes;Führen Sie die Prozedur '{0}' aus.
ExecutingDot;Laufen.
ExecutingRowParameter;Zeile {0} ausführen
CatalogNotFromUriExceptionMessage;Der Katalog wird nicht über uri bezogen.
TableRowContentIsNotTableColumnExceptionMessage;Der Inhalt der Zeilen muss TABLE COLUMN sein
TableContentIsNotTableColumnExceptionMessage;Der Inhalt der Tabellen muss TABLE COLUMN sein
DirectoryNotFoundOrNotAccessibleExceptionMessage;Das Verzeichnis existiert nicht oder ist nicht zugänglich:
DirectoryNotFoundExceptionMessage;Das Verzeichnis existiert nicht:
FileNotEqualParameterExceptionMessage;Die Datei ist nicht genau gleich. ({0})
FileNotFoundOrNotAccessibleExceptionMessage;Die Datei existiert nicht oder ist nicht zugänglich:
InitializationMethodNotStaticExceptionMessage;Die '{0}' - Methode von {1} muss statisch sein
ParameterNameWithSpacesExceptionMessage;Der Name eines Parameters darf keine Leerzeichen enthalten.
NullQueryParameterExceptionMessage;Der Abfrageparameter darf nicht NULL sein
CronoServerDoesNotSupportFeatureExceptionMessage;Der Server unterstützt diese Funktionalität nicht.
CorrectElement;Richtiger Artikel
ReadingErrorParameterBetweenQuotes;Fehler beim Lesen von '{0}'
ErrorParsingThisSentenceColonParameter;Fehler beim Parsen dieser Anweisung:|{0}
ErrorInFileParameter;Dateifehler {0}
IsForeignKeyColonParameter;Es ist ein Fremdschlüssel: {0}
IsPrimaryKeyColonParameter;Es ist der Primärschlüssel: {0}
IsDeferrableColonParameter;Es wird zurückgestellt: {0}
IsClusteredColonParameter;Es ist Gruppe: {0}
IsUniqueColonParameter;Es ist einzigartig: {0}
IsDisabledColonParameter;Es ist deaktiviert: {0}
