_New;Nuevo
Catalog;Catálogo
All;Todos
OpenBrowser;Abrir navegador
UnrecognizedActionColon;Acción no reconocida:
SupportsNullsColonParameter;Admite nulos: {0}
UnauthorizedAccessParameter;Acceso no autorizado {0}
FieldsColon;Campos:
UndefinedCatalogInQueryExceptionMessage;Consulta mal definida. El catálogo no existe.
TestsSmtpAccountWrongCredentialsMessage;Credenciales incorrectos, revise el usuario y la contraseña.
TestConnectionUnassignedDataSourceMessage;Datasource no asignado
BusinessItemEmptyNameMessage;Debe especificar un nombre para este elemento de negocio.
ExecutionComplete;Ejecución finalizada
ExecutionCompleteWithUnexpectedExitCode;Ejecución finalizada con un ExitCode imprevisto.
ExecuteParameterBetweenQuotes;Ejecuta {0}
ExecuteProcedureParameterBetweenQuotes;Ejecuta procedimiento '{0}'
ExecutingDot;Ejecutando.
ExecutingRowParameter;Ejecutando fila {0}
CatalogNotFromUriExceptionMessage;El catálogo no se obtiene mediante uri.
TableRowContentIsNotTableColumnExceptionMessage;El contenido de las filas deben ser TABLE COLUMN
TableContentIsNotTableColumnExceptionMessage;El contenido de las tablas debe ser TABLE COLUMN
DirectoryNotFoundOrNotAccessibleExceptionMessage;El directorio no existe o no está accesible:
DirectoryNotFoundExceptionMessage;El directorio no existe:
FileNotEqualParameterExceptionMessage;El fichero no es exactamente igual. ({0})
FileNotFoundOrNotAccessibleExceptionMessage;El fichero no existe o no está accesible:
InitializationMethodNotStaticExceptionMessage;El método '{0}' de {1} debe ser estático
ParameterNameWithSpacesExceptionMessage;El nombre de un parámetro no puede contener espacios.
NullQueryParameterExceptionMessage;El parámetro consulta no puede ser NULL
CronoServerDoesNotSupportFeatureExceptionMessage;El servidor no soporta esta funcionalidad.
CorrectElement;Elemento correcto
ReadingErrorParameterBetweenQuotes;Error al leer '{0}'
ErrorParsingThisSentenceColonParameter;Error al parsear esta sentencia:|{0}
ErrorInFileParameter;Error en el fichero {0}
IsForeignKeyColonParameter;Es clave externa: {0}
IsPrimaryKeyColonParameter;Es clave primaria: {0}
IsDeferrableColonParameter;Es diferida: {0}
IsClusteredColonParameter;Es grupo: {0}
IsUniqueColonParameter;Es único: {0}
IsDisabledColonParameter;Está deshabilitado: {0}
CubeWithUnknownColumnsExceptionMessage;Este cubo no se puede evaluar por contener columnas desconocidas.
MultipleMethodsWithSameAttributeExceptionMessage;Existen varios métodos con el atributo {0}
IncorrectExpressionColonParameter;Expresión incorrecta: {0}
BadExtensionDefinitionExceptionMessage;Extensión {0} mal definida
JoinDateAndDurationOfVerificationParameters;Fecha de verificación: {0}|Tiempo de verificación: {0} segundos
DateColonParameter;Fecha: {0}
IncorrectFileFormat;Formato de fichero incorrecta
IncorrectVersionFormatColonParameter;Formato de versión incorrecto: {0}
UserProfileAccessProblemExceptionMessage;Ha ocurrido un problema al acceder al perfil del usuario.
HourStringToTimeSpanExceptionMessage;Hora hh:mm:ss incorrecta {0}.
InitiallyDeferredColonParameter;Inicialmente diferida: {0}
RestrictionTypeColonParameter;Tipo de restricción: {0}
ColumnCountColonParameter;Numero de columnas: {0}
ColumnColonParameter;Columna: {0}
TableColonParameterDotParameter;Tabla: {0}.{1}
RestrictionNameColonParameter;Nombre de la restricción: {0}
IncorrectInstallation;Instalación incorrecta
BusinessItemEmptyDefinitionMessage;Introduzca la cláusula SELECT.
