_New;Nouveau
Catalog;Catalogue
All;Tous
OpenBrowser;Ouvrir le navigateur
UnrecognizedActionColon;Action non reconnue:
SupportsNullsColonParameter;Prend en charge les valeurs nulles: {0}
UnauthorizedAccessParameter;Accès non autorisé {0}
FieldsColon;Champs:
UndefinedCatalogInQueryExceptionMessage;Requête mal définie. Le catalogue n'existe pas.
TestsSmtpAccountWrongCredentialsMessage;Identifiants incorrects, vérifiez le nom d'utilisateur et le mot de passe.
TestConnectionUnassignedDataSourceMessage;Source de données non allouée
BusinessItemEmptyNameMessage;Vous devez spécifier un nom pour cet élément commercial.
ExecutionComplete;Exécution terminée
ExecutionCompleteWithUnexpectedExitCode;Exécution terminée avec un code de sortie imprévu.
ExecuteParameterBetweenQuotes;Exécutez {0}
ExecuteProcedureParameterBetweenQuotes;Exécuter la procédure '{0}'
ExecutingDot;Courir.
ExecutingRowParameter;Exécution de la ligne {0}
CatalogNotFromUriExceptionMessage;Le catalogue n'est pas obtenu via uri.
TableRowContentIsNotTableColumnExceptionMessage;Le contenu des lignes doit être COLONNE DE TABLE
TableContentIsNotTableColumnExceptionMessage;Le contenu des tableaux doit être COLONNE DE TABLE
DirectoryNotFoundOrNotAccessibleExceptionMessage;Le répertoire n'existe pas ou n'est pas accessible:
DirectoryNotFoundExceptionMessage;Le répertoire n'existe pas:
FileNotEqualParameterExceptionMessage;Le fichier n'est pas exactement le même. ({0})
FileNotFoundOrNotAccessibleExceptionMessage;Le fichier n'existe pas ou n'est pas accessible:
InitializationMethodNotStaticExceptionMessage;La méthode '{0}' de {1} doit être statique
ParameterNameWithSpacesExceptionMessage;Le nom d'un paramètre ne peut pas contenir d'espaces.
NullQueryParameterExceptionMessage;Le paramètre de requête ne peut pas être NULL
CronoServerDoesNotSupportFeatureExceptionMessage;Le serveur ne prend pas en charge cette fonctionnalité.
CorrectElement;Élément correct
ReadingErrorParameterBetweenQuotes;Erreur lors de la lecture de '{0}'
ErrorParsingThisSentenceColonParameter;Erreur lors de l'analyse de cette instruction:|{0}
ErrorInFileParameter;Erreur de fichier {0}
IsForeignKeyColonParameter;Il s'agit d'une clé étrangère: {0}
IsPrimaryKeyColonParameter;Il s'agit de la clé primaire: {0}
IsDeferrableColonParameter;Il est différé: {0}
IsClusteredColonParameter;C'est le groupe: {0}
IsUniqueColonParameter;Il est unique: {0}
IsDisabledColonParameter;Il est désactivé: {0}
CubeWithUnknownColumnsExceptionMessage;Ce cube ne peut pas être évalué car il contient des colonnes inconnues.
MultipleMethodsWithSameAttributeExceptionMessage;Il existe plusieurs méthodes avec l'attribut {0}
IncorrectExpressionColonParameter;Expression incorrecte: {0}
BadExtensionDefinitionExceptionMessage;Extension {0} mal définie
JoinDateAndDurationOfVerificationParameters;Date de vérification: {0}|Temps de vérification: {0} secondes
DateColonParameter;Date: {0}
IncorrectFileFormat;Format de fichier incorrect
IncorrectVersionFormatColonParameter;Format de version incorrect: {0}
UserProfileAccessProblemExceptionMessage;Un problème est survenu lors de l'accès au profil de l'utilisateur.
HourStringToTimeSpanExceptionMessage;Heure hh: mm: ss incorrect {0}.
InitiallyDeferredColonParameter;Initialement différé: {0}
RestrictionTypeColonParameter;Type de restriction: {0}
ColumnCountColonParameter;Nombre de colonnes: {0}
ColumnColonParameter;Colonne: {0}
TableColonParameterDotParameter;Tableau: {0}. {1}
RestrictionNameColonParameter;Nom de la restriction: {0}
IncorrectInstallation;Installation incorrecte
BusinessItemEmptyDefinitionMessage;Entrez la clause SELECT.
BusinessItemDefinitionTooLongMessage;La clause SELECT de cet élément métier est trop longue (1 000 caractères maximum).
DeveloperMode;Mode de développement
CollectionAlreadyBeingUpdatedExceptionMessage;La collection est déjà en cours de mise à jour.
QueryResultNotScalarExceptionMessage;La requête doit renvoyer un enregistrement et une colonne.
QueryResultEmptyMustBeSingleRowExceptionMessage;La requête n'a renvoyé aucun enregistrement. Vous devez renvoyer exactement 1.
QueryResultMoreThanOneRowMustBeSingleRowExceptionMessage;La requête a renvoyé {0} enregistrements. Vous devez renvoyer exactement 1.
ExecutingTheQuery;Exécution de la requête
RowsHaveBeenObtainedParameter;{0} lignes ont été obtenues
NullActionsToExecuteExceptionMessage;Vous devez définir les actions à exécuter (Actions).
NullDataVariablesExceptionMessage;Les variables (données) doivent être définies.
ProvidedServerAddressIsMisspelledMessage;L'adresse du serveur fournie est mal orthographiée.
ProvidedServerAddressNotCronoServerMessage;L'adresse fournie ne correspond pas à un serveur crono.
CronoServerConnectionHasBeenEstablished;La connexion au serveur a été établie.
ExpressionAlreadyBeenSetted;L'expression est déjà établie
InstructionNotASELECTStatement;L'instruction n'est pas une instruction SELECT
UrlIncorrectFormatParameterBetweenQuotes;L'URL '{0}' n'a pas un format correct.
UrlNotUsingS3ProtocolExceptionMessage;L'URL n'utilise pas le protocole s3
ShowingPartialResults;Affichage de résultats partiels.
UnneededCallExceptionMessage;Pas besoin d'appeler ici
DeleteDirectoryConfirmation;Voulez-vous vraiment supprimer ce répertoire et tout son contenu?
DeleteFileConfirmation;Voulez-vous vraiment supprimer ce fichier?
_404FileNotFound;404. Le chemin de fichier que vous avez demandé est introuvable
ServerIsNotInformed;Le serveur n'est pas informé.
ResourceDirectoryNotExistsParameterBetweenQuotes;Le dossier de ressources '{0}' n'existe pas
DataBaseConnectionNotExistsParameter;Il n'y a pas de connexion "{0}" pour accéder à la base de données.
NoDataBaseConectionEstablished;Aucune connexion n'est établie avec une base de données.
ConditionNotMet;La condition n'est pas remplie.
FileNotFoundParameter;Fichier {0} introuvable
FileNotFoundOfColon;Le fichier de:
FileToSaveNotSpecified;Le fichier où enregistrer n'a pas été spécifié
ConnectionNotSpecified;La connexion n'a pas été spécifiée.
ServerUrlNotSpecified;Adresse URL du serveur non spécifiée
SourceCatalogOfCubeNotSet;Le catalogue source de ce cube n'a pas été établi.
MessageOutputNotSet;Sortie de message non définie
CouldNotAccessToParameter;Impossible d'accéder à '{0}'
CouldNotExecuteActionCorrectlyMaxIterationCount;L'action n'a pas pu être exécutée correctement, le nombre maximal d'itérations a été atteint.
CouldNotFindInexistentTempFile;Impossible de trouver un fichier temporaire inexistant
CouldNotConnectMailServerCheckFieldAndRetry;Impossible de se connecter au serveur de messagerie, vérifiez les champs ou réessayez plus tard.
CouldNotSaveFileParameterColonParameter;Impossible d'enregistrer le fichier '{0}': {1}
CannotCreateEngineUndefinedHandlerFile;Vous ne pouvez pas créer un moteur car le fichier du gestionnaire n'est pas défini.
CannotCreateDirectConnectionToCronoServerConnection;Vous ne pouvez pas créer une connexion directe avec une chaîne de connexion de type Crono Server
KeyNameColonParameter;Nom de clé: {0}
MachineNameColonParameter;Nom de l'équipe: {0}
IndexNameColonParameter;Nom d'index: {0}
PanelParameter;Panneau {0}
UpdateRuleColonParameter;Règle de mise à jour: {0}
DeleteRuleColonParameter;Supprimer la règle: {0}
BadRouteDefinitionColonParameter;Route mal définie: {0}
