_New;Novo
Catalog;Catálogo
All;Todos
OpenBrowser;Abrir navegador
UnrecognizedActionColon;Ação não reconhecida:
SupportsNullsColonParameter;Suporta nulos: {0}
UnauthorizedAccessParameter;Acesso não autorizado {0}
FieldsColon;Campos:
UndefinedCatalogInQueryExceptionMessage;Consulta mal definida. O catálogo não existe.
TestsSmtpAccountWrongCredentialsMessage;Credenciais ruins, verifique o nome de usuário e a senha.
TestConnectionUnassignedDataSourceMessage;Fonte de dados não alocada
BusinessItemEmptyNameMessage;Você deve especificar um nome para este item de negócios.
ExecutionComplete;Execução concluída
ExecutionCompleteWithUnexpectedExitCode;Execução concluída com um ExitCode imprevisto.
ExecuteParameterBetweenQuotes;Execute {0}
ExecuteProcedureParameterBetweenQuotes;Execute o procedimento '{0}'
ExecutingDot;Em execução.
ExecutingRowParameter;Executando a linha {0}
CatalogNotFromUriExceptionMessage;O catálogo não é obtido através da uri.
TableRowContentIsNotTableColumnExceptionMessage;O conteúdo das linhas deve ser TABLE COLUMN
TableContentIsNotTableColumnExceptionMessage;O conteúdo das tabelas deve ser TABLE COLUMN
DirectoryNotFoundOrNotAccessibleExceptionMessage;O diretório não existe ou não está acessível:
DirectoryNotFoundExceptionMessage;O diretório não existe:
FileNotEqualParameterExceptionMessage;O arquivo não é exatamente o mesmo. ({0})
FileNotFoundOrNotAccessibleExceptionMessage;O arquivo não existe ou não está acessível:
InitializationMethodNotStaticExceptionMessage;O método '{0}' de {1} deve ser estático
ParameterNameWithSpacesExceptionMessage;O nome de um parâmetro não pode conter espaços.
NullQueryParameterExceptionMessage;O parâmetro de consulta não pode ser NULL
CronoServerDoesNotSupportFeatureExceptionMessage;O servidor não suporta esta funcionalidade.
CorrectElement;Item correto
ReadingErrorParameterBetweenQuotes;Erro ao ler '{0}'
ErrorParsingThisSentenceColonParameter;Erro ao analisar esta declaração:|{0}
ErrorInFileParameter;Erro no arquivo {0}
IsForeignKeyColonParameter;É chave estrangeira: {0}
IsPrimaryKeyColonParameter;É a chave primária: {0}
IsDeferrableColonParameter;É adiado: {0}
IsClusteredColonParameter;É o grupo: {0}
IsUniqueColonParameter;É único: {0}
IsDisabledColonParameter;Está desativado: {0}
CubeWithUnknownColumnsExceptionMessage;Este cubo não pode ser avaliado porque contém colunas desconhecidas.
MultipleMethodsWithSameAttributeExceptionMessage;Existem vários métodos com o atributo {0}
IncorrectExpressionColonParameter;Expressão incorreta: {0}
BadExtensionDefinitionExceptionMessage;Extensão {0} mal definida
JoinDateAndDurationOfVerificationParameters;Data da verificação: {0}|Tempo de verificação: {0} segundos
DateColonParameter;Data: {0}
IncorrectFileFormat;Formato de arquivo errado
IncorrectVersionFormatColonParameter;Formato de versão incorreto: {0}
UserProfileAccessProblemExceptionMessage;Ocorreu um problema ao acessar o perfil do usuário.
HourStringToTimeSpanExceptionMessage;Hora hh: mm: ss incorreto {0}.
InitiallyDeferredColonParameter;Adiado inicialmente: {0}
RestrictionTypeColonParameter;Tipo de restrição: {0}
ColumnCountColonParameter;Número de colunas: {0}
ColumnColonParameter;Coluna: {0}
TableColonParameterDotParameter;Tabela: {0}. {1}
RestrictionNameColonParameter;Nome da restrição: {0}
IncorrectInstallation;Instalação incorreta
BusinessItemEmptyDefinitionMessage;Digite a cláusula SELECT.
BusinessItemDefinitionTooLongMessage;A cláusula SELECT deste elemento comercial é muito longa (máximo de 1.000 caracteres).
