Name;Longitude;Latitude
Abla;-2.780104;37.14114
Abrucena;-2.797098;37.13305
Adra;-3.022522;36.74807
Albánchez;-2.181163;37.2871
Alboloduy;-2.62175;37.03319
Albox;-2.147483;37.38979
Alcolea;-2.961038;36.97449
Alcóntar;-2.596944;37.33585
Alcudia de Monteagud;-2.266174;37.23598
Alhabia;-2.587667;36.9893
Alhama de Almería;-2.570075;36.95742
Alicún;-2.601994;36.9663
Almería;-2.467922;36.84016
Almócita;-2.790071;37.00236
Alsodux;-2.594579;37.002
Antas;-1.917543;37.24516
Arboleas;-2.074867;37.35025
Armuña de Almanzora;-2.411396;37.34969
Bacares;-2.454761;37.26083
Bayárcal;-2.996469;37.03116
Bayarque;-2.43566;37.33091
Bédar;-1.981898;37.18964
Beires;-2.790928;37.012
Benahadux;-2.455683;36.92587
Benitagla;-2.239107;37.23124
Benizalón;-2.241685;37.21175
Bentarique;-2.61942;36.98652
Berja;-2.949425;36.84644
Canjáyar;-2.739681;37.00973
Cantoria;-2.193626;37.35259
Carboneras;-1.895012;36.99659
Castro de Filabres;-2.439524;37.18464
Chercos;-2.257897;37.26633
Chirivel;-2.264839;37.5956
Cóbdar;-2.210223;37.26199
Cuevas del Almanzora;-1.881476;37.29709
Dalías;-2.870697;36.82121
Ejido (El);-2.812738;36.77506
Enix;-2.602107;36.87704
Felix;-2.657921;36.86892
Fiñana;-2.840678;37.17101
Fines;-2.262964;37.35888
Fondón;-2.858356;36.97942
Gádor;-2.492936;36.95393
Gallardos (Los);-1.940099;37.16948
Garrucha;-1.821901;37.17925
Gérgal;-2.538305;37.1207
Huécija;-2.611436;36.96788
Huércal-Overa;-1.943684;37.39063
Huércal de Almería;-2.435978;36.88415
Illar;-2.639302;36.98504
Instinción;-2.659945;36.99316
Laroya;-2.329601;37.29667
Láujar de Andarax;-2.88922;36.99384
Líjar;-2.219928;37.29527
Lubrín;-2.067055;37.21585
Lucainena de las Torres;-2.200706;37.04179
Lúcar;-2.427074;37.39965
Macael;-2.304892;37.33229
María;-2.165795;37.7111
Mojácar;-1.851328;37.13995
Mojonera (La);-2.688159;36.75254
Nacimiento;-2.64774;37.10497
Níjar;-2.20651;36.96576
Ohanes;-2.745168;37.03723
Olula de Castro;-2.476297;37.17611
Olula del Río;-2.298121;37.35212
Oria;-2.295018;37.48503
