Name;Longitude;Latitude;IsoCountry;RegionCode;ShapeId
Andalucía;-4.31;37.36;ES;ES.AN;ES.AN
Aragón;-0.74;41.584;ES;ES.AR;ES.AR
Asturias;-5.87;43.35;ES;ES.AS;ES.AS
Canarias;-15.684;28.384;ES;ES.CN;ES.CN
Cantabria;-4;43.2;ES;ES.CB;ES.CB
Comunitat Valenciana;-0.500278;39.484;ES;ES.VC;ES.VC
Castilla-La Mancha;-2.65;39.3;ES;ES.CM;ES.CM
Castilla y León;-4.784;41.884;ES;ES.CL;ES.CL
Cataluña;1.74;41.817;ES;ES.CT;ES.CT
Extremadura;-6.1;39.1;ES;ES.EX;ES.EX
Galicia;-7.87;42.74;ES;ES.GA;ES.GA
Illes Balears;2.95;39.65;ES;ES.PM;ES.PM
La Rioja;-2.517;42.316;ES;ES.LO;ES.LO
Navarra;-1.6;42.73;ES;ES.NA;ES.NA
Madrid;-3.65;40.483;ES;ES.MD;ES.MD
Murcia;-1.5;37.917;ES;ES.MU;ES.MU
País Vasco;-2.517;43.05;ES;ES.PV;ES.PV

