Word;Type;
ADD;SqlServer;
ALL;SqlServer;
ALTER;SqlServer;
AND;SqlServer;
ANY;SqlServer;
AS;SqlServer;
ASC;SqlServer;
AUTHORIZATION;SqlServer;
BACKUP;SqlServer;
BEGIN;SqlServer;
BETWEEN;SqlServer;
BREAK;SqlServer;
BROWSE;SqlServer;
BULK;SqlServer;
BY;SqlServer;
CASCADE;SqlServer;
CASE;SqlServer;
CHECK;SqlServer;
CHECKPOINT;SqlServer;
CLOSE;SqlServer;
CLUSTERED;SqlServer;
COALESCE;SqlServer;
COLLATE;SqlServer;
COLUMN;SqlServer;
COMMIT;SqlServer;
COMPUTE;SqlServer;
CONSTRAINT;SqlServer;
CONTAINS;SqlServer;
CONTAINSTABLE;SqlServer;
CONTINUE;SqlServer;
CONVERT;SqlServer;
CREATE;SqlServer;
CROSS;SqlServer;
CURRENT;SqlServer;
CURRENT_DATE;SqlServer;
CURRENT_TIME;SqlServer;
CURRENT_TIMESTAMP;SqlServer;
CURRENT_USER;SqlServer;
CURSOR;SqlServer;
DATABASE;SqlServer;
DBCC;SqlServer;
DEALLOCATE;SqlServer;
DECLARE;SqlServer;
DEFAULT;SqlServer;
DELETE;SqlServer;
DENY;SqlServer;
DESC;SqlServer;
DISK;SqlServer;
DISTINCT;SqlServer;
DISTRIBUTED;SqlServer;
DOUBLE;SqlServer;
DROP;SqlServer;
DUMP;SqlServer;
ELSE;SqlServer;
END;SqlServer;
ERRLVL;SqlServer;
ESCAPE;SqlServer;
EXCEPT;SqlServer;
EXEC;SqlServer;
EXECUTE;SqlServer;
EXISTS;SqlServer;
EXIT;SqlServer;
EXTERNAL;SqlServer;
FETCH;SqlServer;
FILE;SqlServer;
FILLFACTOR;SqlServer;
FOR;SqlServer;
FOREIGN;SqlServer;
FREETEXT;SqlServer;
FREETEXTTABLE;SqlServer;
FROM;SqlServer;
FULL;SqlServer;
FUNCTION;SqlServer;
GOTO;SqlServer;
GRANT;SqlServer;
GROUP;SqlServer;
HAVING;SqlServer;
HOLDLOCK;SqlServer;
IDENTITY;SqlServer;
IDENTITY_INSERT;SqlServer;
IDENTITYCOL;SqlServer;
IF;SqlServer;
IN;SqlServer;
INDEX;SqlServer;
INNER;SqlServer;
INSERT;SqlServer;
INTERSECT;SqlServer;
INTO;SqlServer;
IS;SqlServer;
JOIN;SqlServer;
KEY;SqlServer;
KILL;SqlServer;
LEFT;SqlServer;
LIKE;SqlServer;
LINENO;SqlServer;
LOAD;SqlServer;
MERGE;SqlServer;
NATIONAL;SqlServer;
NOCHECK;SqlServer;
NONCLUSTERED;SqlServer;
NOT;SqlServer;
NULL;SqlServer;
